,track_id,track_pollen_score,track_shape,track_event,track_tagid,track_hastag,track_startframe,track_startx,track_starty,track_starta,track_endframe,track_endx,track_endy,track_enda,track_length,datetime,track_starttime,track_endtime,pollen,entering,leaving,entering_leaving,walking,video_name,labelbee_videoid,video_filename,video_seq
33661,2336,0.0067112660751023,outside_inside,entering,1230,True,6698,596,840,16.557071375636653,6737,528,180,324.16234704572173,40,2017-06-21 09:05:34.900,2017-06-21 09:05:34.900,2017-06-21 09:05:36.850,False,True,False,False,False,C02_170621090000.mp4,15072,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621090000.mp4,1
33791,2466,0.6806812286376953,noise,,1415,True,6902,928,1048,347.1249984403875,6905,956,928,358.492564241225,4,2017-06-21 09:05:45.100,2017-06-21 09:05:45.100,2017-06-21 09:05:45.250,True,False,False,False,False,C02_170621090000.mp4,15072,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621090000.mp4,1
33794,2469,0.7487189024686813,noise,,1415,True,6906,984,804,349.8244891569568,6909,992,692,358.3153156821037,4,2017-06-21 09:05:45.300,2017-06-21 09:05:45.300,2017-06-21 09:05:45.450,True,False,False,False,False,C02_170621090000.mp4,15072,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621090000.mp4,1
33797,2472,0.9142450640598933,ramp-inside,,1415,True,6910,1020,568,350.3112134396332,6921,836,68,26.56505117707799,12,2017-06-21 09:05:45.500,2017-06-21 09:05:45.500,2017-06-21 09:05:46.050,True,False,False,False,False,C02_170621090000.mp4,15072,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621090000.mp4,1
35797,4472,0.0001483968680898,inside_out,leaving,1237,True,11378,768,244,197.24145939893995,11408,876,1120,357.6140559696112,31,2017-06-21 09:09:28.900,2017-06-21 09:09:28.900,2017-06-21 09:09:30.400,False,False,True,False,False,C02_170621090000.mp4,15072,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621090000.mp4,1
37471,6146,0.0283766813364157,ramp_ramp,,1230,True,15216,664,364,203.8059435184577,15221,700,596,193.1340223063963,6,2017-06-21 09:12:40.800,2017-06-21 09:12:40.800,2017-06-21 09:12:41.050,False,False,False,False,False,C02_170621090000.mp4,15072,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621090000.mp4,1
37477,6152,0.0050298398709855,noise,,1230,True,15226,764,820,188.8418145601917,15230,704,1084,164.5387822595581,5,2017-06-21 09:12:41.300,2017-06-21 09:12:41.300,2017-06-21 09:12:41.500,False,False,False,False,False,C02_170621090000.mp4,15072,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621090000.mp4,1
37480,6155,1.83259684032322e-05,outside,,1621,True,15226,1728,1136,7.125016348901798,15233,1728,864,317.4895529219992,8,2017-06-21 09:12:41.300,2017-06-21 09:12:41.300,2017-06-21 09:12:41.650,False,False,False,False,False,C02_170621090000.mp4,15072,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621090000.mp4,1
37484,6159,0.002156708667826,noise,,1621,True,15234,1816,760,325.12467165539783,15237,1892,596,332.10272896905235,4,2017-06-21 09:12:41.700,2017-06-21 09:12:41.700,2017-06-21 09:12:41.850,False,False,False,False,False,C02_170621090000.mp4,15072,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621090000.mp4,1
37487,6162,0.007766321521156,ramp-inside,,1621,True,15238,1940,448,332.24145939894,15258,1728,52,15.068488159492212,21,2017-06-21 09:12:41.900,2017-06-21 09:12:41.900,2017-06-21 09:12:42.900,False,False,False,False,False,C02_170621090000.mp4,15072,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621090000.mp4,1
